Date,Hydro
5/1/2014,467.006
6/1/2014,280.204
7/1/2014,186.803
8/1/2014,504.367
9/1/2014,336.245
10/1/2014,691.17
5/1/2015,766.262
6/1/2015,615.725
7/1/2015,692.51
8/1/2015,585.81
9/1/2015,380.03
10/1/2015,405.569
5/1/2016,535.653
6/1/2016,383.834
7/1/2016,570.259
8/1/2016,604.846
9/1/2016,625.243
10/1/2016,624.443
5/1/2017,467.867
6/1/2017,526.104
7/1/2017,536.857
8/1/2017,647.853
9/1/2017,720.22
10/1/2017,890.102
5/1/2018,536.947
6/1/2018,384.404
7/1/2018,307.993
8/1/2018,423.052
9/1/2018,633.454
10/1/2018,841.938
5/1/2019,294.021
6/1/2019,472.218
7/1/2019,429.369
8/1/2019,602.943
9/1/2019,703.288
10/1/2019,862.922
5/1/2020,396.565
6/1/2020,390.836
7/1/2020,538.203
8/1/2020,388.517
9/1/2020,478.65
10/1/2020,718.302
,
,
,
,
